"No.","Time","Source","Destination","Protocol","Length","Info"
"43251","9.813475","162.105.129.65","10.1.246.45","TCP","216","[TCP Retransmission] 443  >  39150 [PSH, ACK] Seq=73418 Ack=2730 Win=6887 Len=74 TSval=528735143 TSecr=3181217810"
"43254","9.813609","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=74987 Ack=2730 Win=6887 Len=1374"
"43284","9.815986","162.105.129.65","10.1.247.45","SSL","1516","Continuation Data"
"43286","9.816077","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=79304 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43288","9.816168","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=80752 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43290","9.816258","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=85116 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43292","9.816381","160.105.129.65","26.33.246.45","TCP","1516","8601  >  47854 [ACK, NS] Seq=1 Ack=1 Win=15015 Len=1374"
"43294","9.816470","162.105.129.65","10.1.246.109","TCP","753","14521  >  8995 [ACK, Reserved] Seq=1 Ack=1 Win=52421 Len=567"
"43295","9.816515","162.105.129.65","10.1.246.45","TCP","1073","[TCP Retransmission] 443  >  39150 [ACK] Seq=91445 Ack=2730 Win=6887 Len=931 TSval=528735145 TSecr=3181217814"
"43296","9.816559","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=92376 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43297","9.816605","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=93824 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43299","9.816696","162.105.129.65","10.1.246.45","TCP","1516","[TCP Retransmission] 443  >  39150 [ACK] Seq=95272 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43301","9.816787","162.105.129.65","10.1.246.45","TCP","1508","[TCP Retransmission] 443  >  39150 [ACK] Seq=98168 Ack=2730 Win=6887 Len=1374 TSval=528735145 TSecr=3181217814"
"43508","9.846565","162.105.129.65","10.1.246.45","TCP","379","[TCP Retransmission] 443  >  39150 [PSH, ACK] Seq=100218 Ack=3263 Win=7420 Len=245 TSval=528735175 TSecr=3181217831"
"85763","19.065523","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=688412 Ack=1 Win=29312 Len=1374 TSval=1455333850 TSecr=1915938580"
"86624","19.136665","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1292972 Ack=1 Win=29312 Len=1374 TSval=1455333923 TSecr=1915938654"
"87211","19.177213","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1706546 Ack=1 Win=29312 Len=1374 TSval=1455333960 TSecr=1915938686"
"87214","19.177353","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1712042 Ack=1 Win=29312 Len=1374 TSval=1455333960 TSecr=1915938686"
"87306","19.183524","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1804100 Ack=1 Win=29312 Len=1374 TSval=1455333971 TSecr=1915938702"
"87354","19.186705","10.1.246.45","222.29.98.58","TCP","1516","51020  >  5201 [ACK] Seq=1859060 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87358","19.186906","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1832954 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
"87359","19.186951","10.1.246.45","222.29.98.58","TCP","1516","[TCP Out-Of-Order] 51020  >  5201 [ACK] Seq=1834328 Ack=1 Win=29312 Len=1374 TSval=1455333973 TSecr=1915938703"
